Name,Parameter_ID,Value
Torres Strait Creole,2,?
New Zealand English,2,D
Norfolk Island/ Pitcairn English,2,D
Palmerston English,2,B
Acrolectal Fiji English,2,D
Pure Fiji English (basilectal FijiE),2,B
Bislama,2,X
Tok Pisin,2,X
Hawaiʼi Creole,2,C
Falkland Islands English,2,D
St. Helena English,2,D
Tristan da Cunha English,2,D
Philippine English,2,D
Cape Flats English,2,D
Orkney and Shetland English,3,X
Scottish English,3,?
Irish English,3,A
Manx English,3,B
Welsh English,3,B
English dialects in the North of England,3,?
English dialects in the Southwest of England,3,?
East Anglian English,3,D
English dialects in the Southeast of England,3,D
Channel Islands English,3,D
British Creole,3,B
Maltese English,3,C
Newfoundland English,3,?
Colloquial American English,3,D
Urban African American Vernacular English,3,B
Rural African American Vernacular English,3,D
Earlier African American Vernacular English,3,C
Ozark English,3,A
Appalachian English,3,X
Southeast American enclave dialects,3,B
Gullah,3,C
Chicano English,3,?
Bahamian English,3,B
Bahamian Creole,3,D
Barbadian Creole (Bajan),3,X
Jamaican English,3,?
Jamaican Creole,3,A
San Andrés Creole,3,B
Belizean Creole,3,B
Guyanese Creole (Creolese),3,A
Eastern Maroon Creole,3,A
Saramaccan,3,D
Sranan,3,X
Trinidadian Creole,3,B
Vincentian Creole,3,B
Krio (Sierra Leone Creole),3,?
Liberian Settler English,3,B
Vernacular Liberian English,3,D
Ghanaian English,3,B
Ghanaian Pidgin,3,B
Nigerian English,3,?
Nigerian Pidgin,3,B
Cameroon English,3,B
Cameroon Pidgin,3,?
Tanzanian English,3,D
Kenyan English,3,?
Ugandan English,3,D
White Zimbabwean English,3,B
Black South African English,3,C
Indian South African English,3,B
White South African English,3,B
Indian English,3,D
Pakistani English,3,C
Butler English,3,B
Sri Lankan English,3,D
Hong Kong English,3,?
Colloquial Singapore English (Singlish),3,B
Malaysian English,3,A
Australian English,3,B
Australian Vernacular English,3,B
Aboriginal English,3,A
Roper River Creole (Kriol),3,?
Torres Strait Creole,3,?
New Zealand English,3,B
Norfolk Island/ Pitcairn English,3,B
Palmerston English,3,B
Acrolectal Fiji English,3,D
Pure Fiji English (basilectal FijiE),3,A
Bislama,3,B
Tok Pisin,3,X
Hawaiʼi Creole,3,A
Falkland Islands English,3,D
St. Helena English,3,D
Tristan da Cunha English,3,D
Philippine English,3,B
Cape Flats English,3,C
Orkney and Shetland English,4,B
Scottish English,4,D
Irish English,4,D
Manx English,4,D
Welsh English,4,D
English dialects in the North of England,4,D
English dialects in the Southwest of England,4,D
East Anglian English,4,A
English dialects in the Southeast of England,4,D
Channel Islands English,4,D
British Creole,4,D
Maltese English,4,D
Newfoundland English,4,?
Colloquial American English,4,X
Urban African American Vernacular English,4,C
Rural African American Vernacular English,4,C
Earlier African American Vernacular English,4,?
Ozark English,4,D
Appalachian English,4,D
Southeast American enclave dialects,4,C
Gullah,4,X
Chicano English,4,D
Bahamian English,4,B
Bahamian Creole,4,D
Barbadian Creole (Bajan),4,X
Jamaican English,4,?
Jamaican Creole,4,D
San Andrés Creole,4,D
Belizean Creole,4,B
Guyanese Creole (Creolese),4,A
Eastern Maroon Creole,4,?
Saramaccan,4,D
Sranan,4,D
Trinidadian Creole,4,D
Vincentian Creole,4,D
Krio (Sierra Leone Creole),4,D
Liberian Settler English,4,C
Vernacular Liberian English,4,D
Ghanaian English,4,D
Ghanaian Pidgin,4,D
Nigerian English,4,D
Nigerian Pidgin,4,D
Cameroon English,4,D
Cameroon Pidgin,4,D
Tanzanian English,4,D
Kenyan English,4,X
Ugandan English,4,D
White Zimbabwean English,4,D
Black South African English,4,D
Indian South African English,4,D
White South African English,4,D
Indian English,4,B
Pakistani English,4,D
Butler English,4,C
Sri Lankan English,4,D
Hong Kong English,4,D
Colloquial Singapore English (Singlish),4,D
Malaysian English,4,D
Australian English,4,X
Australian Vernacular English,4,X
Aboriginal English,4,A
Roper River Creole (Kriol),4,?
Torres Strait Creole,4,A
New Zealand English,4,C
Norfolk Island/ Pitcairn English,4,D
Palmerston English,4,D
Acrolectal Fiji English,4,D
Pure Fiji English (basilectal FijiE),4,?
Bislama,4,X
Tok Pisin,4,X
Hawaiʼi Creole,4,C
Falkland Islands English,4,D
St. Helena English,4,B
Tristan da Cunha English,4,C
Philippine English,4,D
Cape Flats English,4,D
Orkney and Shetland English,5,D
Scottish English,5,D
Irish English,5,D
Manx English,5,D
Welsh English,5,D
English dialects in the North of England,5,D
English dialects in the Southwest of England,5,D
East Anglian English,5,D
English dialects in the Southeast of England,5,D
Channel Islands English,5,D
British Creole,5,B
Maltese English,5,D
Newfoundland English,5,D
Colloquial American English,5,D
Urban African American Vernacular English,5,C
Rural African American Vernacular English,5,D
Earlier African American Vernacular English,5,D
Ozark English,5,X
Appalachian English,5,D
Southeast American enclave dialects,5,C
Gullah,5,B
Chicano English,5,D
Bahamian English,5,C
Bahamian Creole,5,B
Barbadian Creole (Bajan),5,B
Jamaican English,5,C
Jamaican Creole,5,A
San Andrés Creole,5,D
Belizean Creole,5,A
Guyanese Creole (Creolese),5,A
Eastern Maroon Creole,5,A
Saramaccan,5,A
Sranan,5,A
Trinidadian Creole,5,D
Vincentian Creole,5,A
Krio (Sierra Leone Creole),5,A
Liberian Settler English,5,D
Vernacular Liberian English,5,C
Ghanaian English,5,C
Ghanaian Pidgin,5,A
Nigerian English,5,D
Nigerian Pidgin,5,A
Cameroon English,5,D
Cameroon Pidgin,5,A
Tanzanian English,5,D
Kenyan English,5,D
Ugandan English,5,D
White Zimbabwean English,5,D
Black South African English,5,D
Indian South African English,5,D
White South African English,5,D
Indian English,5,D
Pakistani English,5,D
Butler English,5,D
Sri Lankan English,5,D
Hong Kong English,5,D
Colloquial Singapore English (Singlish),5,D
Malaysian English,5,D
Australian English,5,X
Australian Vernacular English,5,X
Aboriginal English,5,A
Roper River Creole (Kriol),5,A
Torres Strait Creole,5,A
New Zealand English,5,D
Norfolk Island/ Pitcairn English,5,D
Palmerston English,5,C
Acrolectal Fiji English,5,D
Pure Fiji English (basilectal FijiE),5,A
Bislama,5,A
Tok Pisin,5,A
Hawaiʼi Creole,5,D
Falkland Islands English,5,D
St. Helena English,5,D
Tristan da Cunha English,5,D
Philippine English,5,X
Cape Flats English,5,D
Orkney and Shetland English,6,D
Scottish English,6,D
Irish English,6,D
Manx English,6,D
Welsh English,6,D
English dialects in the North of England,6,D
English dialects in the Southwest of England,6,D
East Anglian English,6,D
English dialects in the Southeast of England,6,D
Channel Islands English,6,D
British Creole,6,B
Maltese English,6,D
Newfoundland English,6,C
Colloquial American English,6,D
Urban African American Vernacular English,6,D
Rural African American Vernacular English,6,D
Earlier African American Vernacular English,6,D
Ozark English,6,X
Appalachian English,6,D
Southeast American enclave dialects,6,D
Gullah,6,A
Chicano English,6,D
Bahamian English,6,D
Bahamian Creole,6,B
Barbadian Creole (Bajan),6,A
Jamaican English,6,C
Jamaican Creole,6,A
San Andrés Creole,6,D
Belizean Creole,6,A
Guyanese Creole (Creolese),6,A
Eastern Maroon Creole,6,A
Saramaccan,6,A
Sranan,6,A
Trinidadian Creole,6,D
Vincentian Creole,6,A
Krio (Sierra Leone Creole),6,A
Liberian Settler English,6,D
Vernacular Liberian English,6,D
Ghanaian English,6,C
Ghanaian Pidgin,6,A
Nigerian English,6,D
Nigerian Pidgin,6,A
Cameroon English,6,D
Cameroon Pidgin,6,A
Tanzanian English,6,D
Kenyan English,6,D
Ugandan English,6,D
White Zimbabwean English,6,D
Black South African English,6,C
Indian South African English,6,D
White South African English,6,D
Indian English,6,D
Pakistani English,6,D
Butler English,6,D
Sri Lankan English,6,D
Hong Kong English,6,D
Colloquial Singapore English (Singlish),6,D
Malaysian English,6,D
Australian English,6,X
Australian Vernacular English,6,X
Aboriginal English,6,A
Roper River Creole (Kriol),6,A
Torres Strait Creole,6,A
New Zealand English,6,D
Norfolk Island/ Pitcairn English,6,A
Palmerston English,6,C
Acrolectal Fiji English,6,D
Pure Fiji English (basilectal FijiE),6,A
Bislama,6,X
Tok Pisin,6,X
Hawaiʼi Creole,6,A
Falkland Islands English,6,D
St. Helena English,6,D
Tristan da Cunha English,6,D
Philippine English,6,X
Cape Flats English,6,D
Orkney and Shetland English,7,B
Scottish English,7,A
Irish English,7,B
Manx English,7,B
Welsh English,7,A
English dialects in the North of England,7,A
English dialects in the Southwest of England,7,B
East Anglian English,7,A
English dialects in the Southeast of England,7,A
Channel Islands English,7,B
British Creole,7,A
Maltese English,7,B
Newfoundland English,7,A
Colloquial American English,7,B
Urban African American Vernacular English,7,A
Rural African American Vernacular English,7,A
Earlier African American Vernacular English,7,A
Ozark English,7,A
Appalachian English,7,A
Southeast American enclave dialects,7,A
Gullah,7,B
Chicano English,7,B
Bahamian English,7,A
Bahamian Creole,7,B
Barbadian Creole (Bajan),7,A
Jamaican English,7,B
Jamaican Creole,7,A
San Andrés Creole,7,A
Belizean Creole,7,A
Guyanese Creole (Creolese),7,A
Eastern Maroon Creole,7,X
Saramaccan,7,X
Sranan,7,A
Trinidadian Creole,7,A
Vincentian Creole,7,A
Krio (Sierra Leone Creole),7,A
Liberian Settler English,7,B
Vernacular Liberian English,7,A
Ghanaian English,7,C
Ghanaian Pidgin,7,A
Nigerian English,7,A
Nigerian Pidgin,7,B
Cameroon English,7,A
Cameroon Pidgin,7,B
Tanzanian English,7,B
Kenyan English,7,A
Ugandan English,7,B
White Zimbabwean English,7,B
Black South African English,7,A
Indian South African English,7,A
White South African English,7,B
Indian English,7,C
Pakistani English,7,B
Butler English,7,A
Sri Lankan English,7,B
Hong Kong English,7,A
Colloquial Singapore English (Singlish),7,B
Malaysian English,7,A
Australian English,7,B
Australian Vernacular English,7,A
Aboriginal English,7,A
Roper River Creole (Kriol),7,A
Torres Strait Creole,7,?
New Zealand English,7,A
Norfolk Island/ Pitcairn English,7,D
Palmerston English,7,?
Acrolectal Fiji English,7,?
Pure Fiji English (basilectal FijiE),7,A
Bislama,7,X
Tok Pisin,7,X
Hawaiʼi Creole,7,A
Falkland Islands English,7,B
St. Helena English,7,A
Tristan da Cunha English,7,B
Philippine English,7,B
Cape Flats English,7,A
Orkney and Shetland English,8,B
Scottish English,8,B
Irish English,8,A
Manx English,8,B
Welsh English,8,B
English dialects in the North of England,8,C
English dialects in the Southwest of England,8,C
East Anglian English,8,C
English dialects in the Southeast of England,8,C
Channel Islands English,8,B
British Creole,8,?
Maltese English,8,B
Newfoundland English,8,A
Colloquial American English,8,B
Urban African American Vernacular English,8,B
Rural African American Vernacular English,8,B
Earlier African American Vernacular English,8,C
Ozark English,8,C
Appalachian English,8,C
Southeast American enclave dialects,8,C
Gullah,8,D
Chicano English,8,?
Bahamian English,8,B
Bahamian Creole,8,D
Barbadian Creole (Bajan),8,D
Jamaican English,8,?
Jamaican Creole,8,C
San Andrés Creole,8,D
Belizean Creole,8,D
Guyanese Creole (Creolese),8,D
Eastern Maroon Creole,8,X
Saramaccan,8,D
Sranan,8,D
Trinidadian Creole,8,A
Vincentian Creole,8,C
Krio (Sierra Leone Creole),8,D
Liberian Settler English,8,B
Vernacular Liberian English,8,B
Ghanaian English,8,C
Ghanaian Pidgin,8,D
Nigerian English,8,A
Nigerian Pidgin,8,C
Cameroon English,8,A
Cameroon Pidgin,8,B
Tanzanian English,8,B
Kenyan English,8,A
Ugandan English,8,B
White Zimbabwean English,8,B
Black South African English,8,B
Indian South African English,8,B
White South African English,8,A
Indian English,8,C
Pakistani English,8,C
Butler English,8,B
Sri Lankan English,8,D
Hong Kong English,8,B
Colloquial Singapore English (Singlish),8,D
Malaysian English,8,A
Australian English,8,C
Australian Vernacular English,8,C
Aboriginal English,8,D
Roper River Creole (Kriol),8,C
Torres Strait Creole,8,?
New Zealand English,8,A
Norfolk Island/ Pitcairn English,8,D
Palmerston English,8,?
Acrolectal Fiji English,8,?
Pure Fiji English (basilectal FijiE),8,A
Bislama,8,X
Tok Pisin,8,X
Hawaiʼi Creole,8,D
Falkland Islands English,8,C
St. Helena English,8,A
Tristan da Cunha English,8,B
Philippine English,8,C
Cape Flats English,8,B
Orkney and Shetland English,9,D
Scottish English,9,D
Irish English,9,B
Manx English,9,D
Welsh English,9,D
English dialects in the North of England,9,C
English dialects in the Southwest of England,9,?
East Anglian English,9,D
English dialects in the Southeast of England,9,D
Channel Islands English,9,D
British Creole,9,A
Maltese English,9,B
Newfoundland English,9,C
Colloquial American English,9,B
Urban African American Vernacular English,9,B
Rural African American Vernacular English,9,B
Earlier African American Vernacular English,9,A
Ozark English,9,A
Appalachian English,9,A
Southeast American enclave dialects,9,A
Gullah,9,B
Chicano English,9,B
Bahamian English,9,B
Bahamian Creole,9,C
Barbadian Creole (Bajan),9,X
Jamaican English,9,?
Jamaican Creole,9,B
San Andrés Creole,9,D
Belizean Creole,9,?
Guyanese Creole (Creolese),9,D
Eastern Maroon Creole,9,A
Saramaccan,9,D
Sranan,9,D
Trinidadian Creole,9,D
Vincentian Creole,9,D
Krio (Sierra Leone Creole),9,D
Liberian Settler English,9,D
Vernacular Liberian English,9,C
Ghanaian English,9,D
Ghanaian Pidgin,9,D
Nigerian English,9,D
Nigerian Pidgin,9,D
Cameroon English,9,A
Cameroon Pidgin,9,D
Tanzanian English,9,D
Kenyan English,9,D
Ugandan English,9,D
White Zimbabwean English,9,C
Black South African English,9,C
Indian South African English,9,D
White South African English,9,C
Indian English,9,D
Pakistani English,9,D
Butler English,9,D
Sri Lankan English,9,D
Hong Kong English,9,A
Colloquial Singapore English (Singlish),9,D
Malaysian English,9,D
Australian English,9,C
Australian Vernacular English,9,C
Aboriginal English,9,?
Roper River Creole (Kriol),9,A
Torres Strait Creole,9,?
New Zealand English,9,C
Norfolk Island/ Pitcairn English,9,D
Palmerston English,9,?
Acrolectal Fiji English,9,?
Pure Fiji English (basilectal FijiE),9,B
Bislama,9,X
Tok Pisin,9,X
Hawaiʼi Creole,9,C
Falkland Islands English,9,D
St. Helena English,9,A
Tristan da Cunha English,9,C
Philippine English,9,D
Cape Flats English,9,A
Orkney and Shetland English,10,D
Scottish English,10,D
Irish English,10,D
Manx English,10,D
Welsh English,10,D
English dialects in the North of England,10,D
English dialects in the Southwest of England,10,D
East Anglian English,10,D
English dialects in the Southeast of England,10,D
Channel Islands English,10,D
British Creole,10,B
Maltese English,10,D
Newfoundland English,10,D
Colloquial American English,10,D
Urban African American Vernacular English,10,C
Rural African American Vernacular English,10,C
Earlier African American Vernacular English,10,C
Ozark English,10,D
Appalachian English,10,D
Southeast American enclave dialects,10,D
Gullah,10,B
Chicano English,10,D
Bahamian English,10,D
Bahamian Creole,10,B
Barbadian Creole (Bajan),10,C
Jamaican English,10,D
Jamaican Creole,10,B
San Andrés Creole,10,A
Belizean Creole,10,B
Guyanese Creole (Creolese),10,B
Eastern Maroon Creole,10,A
Saramaccan,10,A
Sranan,10,A
Trinidadian Creole,10,D
Vincentian Creole,10,B
Krio (Sierra Leone Creole),10,A
Liberian Settler English,10,D
Vernacular Liberian English,10,C
Ghanaian English,10,C
Ghanaian Pidgin,10,A
Nigerian English,10,D
Nigerian Pidgin,10,A
Cameroon English,10,C
Cameroon Pidgin,10,A
Tanzanian English,10,D
Kenyan English,10,D
Ugandan English,10,D
White Zimbabwean English,10,D
Black South African English,10,B
Indian South African English,10,D
White South African English,10,D
Indian English,10,C
Pakistani English,10,D
Butler English,10,A
Sri Lankan English,10,D
Hong Kong English,10,A
Colloquial Singapore English (Singlish),10,D
Malaysian English,10,B
Australian English,10,X
Australian Vernacular English,10,X
Aboriginal English,10,A
Roper River Creole (Kriol),10,A
Torres Strait Creole,10,A
New Zealand English,10,D
Norfolk Island/ Pitcairn English,10,B
Palmerston English,10,?
Acrolectal Fiji English,10,D
Pure Fiji English (basilectal FijiE),10,A
Bislama,10,A
Tok Pisin,10,A
Hawaiʼi Creole,10,D
Falkland Islands English,10,D
St. Helena English,10,D
Tristan da Cunha English,10,D
Philippine English,10,B
Cape Flats English,10,D
Orkney and Shetland English,11,D
Scottish English,11,B
Irish English,11,B
Manx English,11,C
Welsh English,11,C
English dialects in the North of England,11,A
English dialects in the Southwest of England,11,B
East Anglian English,11,A
English dialects in the Southeast of England,11,B
Channel Islands English,11,D
British Creole,11,D
Maltese English,11,D
Newfoundland English,11,B
Colloquial American English,11,B
Urban African American Vernacular English,11,A
Rural African American Vernacular English,11,A
Earlier African American Vernacular English,11,B
Ozark English,11,B
Appalachian English,11,B
Southeast American enclave dialects,11,A
Gullah,11,B
Chicano English,11,D
Bahamian English,11,B
Bahamian Creole,11,B
Barbadian Creole (Bajan),11,X
Jamaican English,11,D
Jamaican Creole,11,A
San Andrés Creole,11,A
Belizean Creole,11,D
Guyanese Creole (Creolese),11,X
Eastern Maroon Creole,11,A
Saramaccan,11,A
Sranan,11,A
Trinidadian Creole,11,D
Vincentian Creole,11,B
Krio (Sierra Leone Creole),11,A
Liberian Settler English,11,B
Vernacular Liberian English,11,B
Ghanaian English,11,C
Ghanaian Pidgin,11,A
Nigerian English,11,C
Nigerian Pidgin,11,A
Cameroon English,11,B
Cameroon Pidgin,11,A
Tanzanian English,11,D
Kenyan English,11,D
Ugandan English,11,D
White Zimbabwean English,11,D
Black South African English,11,C
Indian South African English,11,D
White South African English,11,D
Indian English,11,D
Pakistani English,11,D
Butler English,11,B
Sri Lankan English,11,D
Hong Kong English,11,D
Colloquial Singapore English (Singlish),11,D
Malaysian English,11,D
Australian English,11,?
Australian Vernacular English,11,C
Aboriginal English,11,A
Roper River Creole (Kriol),11,C
Torres Strait Creole,11,A
New Zealand English,11,D
Norfolk Island/ Pitcairn English,11,B
Palmerston English,11,?
Acrolectal Fiji English,11,D
Pure Fiji English (basilectal FijiE),11,?
Bislama,11,X
Tok Pisin,11,X
Hawaiʼi Creole,11,D
Falkland Islands English,11,C
St. Helena English,11,B
Tristan da Cunha English,11,B
Philippine English,11,D
Cape Flats English,11,D
Orkney and Shetland English,12,B
Scottish English,12,D
Irish English,12,A
Manx English,12,A
Welsh English,12,B
English dialects in the North of England,12,A
English dialects in the Southwest of England,12,A
East Anglian English,12,A
English dialects in the Southeast of England,12,B
Channel Islands English,12,D
British Creole,12,X
Maltese English,12,D
Newfoundland English,12,D
Colloquial American English,12,D
Urban African American Vernacular English,12,D
Rural African American Vernacular English,12,C
Earlier African American Vernacular English,12,D
Ozark English,12,X
Appalachian English,12,D
Southeast American enclave dialects,12,C
Gullah,12,A
Chicano English,12,D
Bahamian English,12,B
Bahamian Creole,12,B
Barbadian Creole (Bajan),12,X
Jamaican English,12,D
Jamaican Creole,12,A
San Andrés Creole,12,A
Belizean Creole,12,D
Guyanese Creole (Creolese),12,X
Eastern Maroon Creole,12,X
Saramaccan,12,A
Sranan,12,A
Trinidadian Creole,12,A
Vincentian Creole,12,A
Krio (Sierra Leone Creole),12,A
Liberian Settler English,12,D
Vernacular Liberian English,12,C
Ghanaian English,12,D
Ghanaian Pidgin,12,D
Nigerian English,12,D
Nigerian Pidgin,12,D
Cameroon English,12,D
Cameroon Pidgin,12,B
Tanzanian English,12,D
Kenyan English,12,D
Ugandan English,12,D
White Zimbabwean English,12,D
Black South African English,12,D
Indian South African English,12,D
White South African English,12,D
Indian English,12,D
Pakistani English,12,D
Butler English,12,B
Sri Lankan English,12,D
Hong Kong English,12,D
Colloquial Singapore English (Singlish),12,D
Malaysian English,12,D
Australian English,12,B
Australian Vernacular English,12,A
Aboriginal English,12,B
Roper River Creole (Kriol),12,A
Torres Strait Creole,12,D
New Zealand English,12,B
Norfolk Island/ Pitcairn English,12,C
Palmerston English,12,?
Acrolectal Fiji English,12,D
Pure Fiji English (basilectal FijiE),12,?
Bislama,12,X
Tok Pisin,12,X
Hawaiʼi Creole,12,C
Falkland Islands English,12,C
St. Helena English,12,B
Tristan da Cunha English,12,C
Philippine English,12,D
Cape Flats English,12,D
Orkney and Shetland English,13,D
Scottish English,13,D
Irish English,13,D
Manx English,13,D
Welsh English,13,C
English dialects in the North of England,13,D
English dialects in the Southwest of England,13,C
East Anglian English,13,D
English dialects in the Southeast of England,13,D
Channel Islands English,13,D
British Creole,13,A
Maltese English,13,D
Newfoundland English,13,C
Colloquial American English,13,D
Urban African American Vernacular English,13,B
Rural African American Vernacular English,13,B
Earlier African American Vernacular English,13,A
Ozark English,13,D
Appalachian English,13,D
Southeast American enclave dialects,13,C
Gullah,13,A
Chicano English,13,D
Bahamian English,13,B
Bahamian Creole,13,B
Barbadian Creole (Bajan),13,A
Jamaican English,13,D
Jamaican Creole,13,D
San Andrés Creole,13,B
Belizean Creole,13,D
Guyanese Creole (Creolese),13,?
Eastern Maroon Creole,13,X
Saramaccan,13,D
Sranan,13,A
Trinidadian Creole,13,B
Vincentian Creole,13,A
Krio (Sierra Leone Creole),13,D
Liberian Settler English,13,B
Vernacular Liberian English,13,D
Ghanaian English,13,D
Ghanaian Pidgin,13,D
Nigerian English,13,D
Nigerian Pidgin,13,D
Cameroon English,13,C
Cameroon Pidgin,13,?
Tanzanian English,13,D
Kenyan English,13,D
Ugandan English,13,D
White Zimbabwean English,13,C
Black South African English,13,D
Indian South African English,13,D
White South African English,13,D
Indian English,13,D
Pakistani English,13,D
Butler English,13,B
Sri Lankan English,13,D
Hong Kong English,13,D
Colloquial Singapore English (Singlish),13,D
Malaysian English,13,D
Australian English,13,D
Australian Vernacular English,13,D
Aboriginal English,13,A
Roper River Creole (Kriol),13,C
Torres Strait Creole,13,D
New Zealand English,13,D
Norfolk Island/ Pitcairn English,13,D
Palmerston English,13,?
Acrolectal Fiji English,13,D
Pure Fiji English (basilectal FijiE),13,?
Bislama,13,X
Tok Pisin,13,X
Hawaiʼi Creole,13,D
Falkland Islands English,13,D
St. Helena English,13,B
Tristan da Cunha English,13,B
Philippine English,13,D
Cape Flats English,13,D
Orkney and Shetland English,14,D
Scottish English,14,D
Irish English,14,C
Manx English,14,C
Welsh English,14,C
English dialects in the North of England,14,D
English dialects in the Southwest of England,14,B
East Anglian English,14,D
English dialects in the Southeast of England,14,B
Channel Islands English,14,D
British Creole,14,B
Maltese English,14,?
Newfoundland English,14,?
Colloquial American English,14,D
Urban African American Vernacular English,14,B
Rural African American Vernacular English,14,C
Earlier African American Vernacular English,14,B
Ozark English,14,C
Appalachian English,14,C
Southeast American enclave dialects,14,C
Gullah,14,B
Chicano English,14,?
Bahamian English,14,B
Bahamian Creole,14,A
Barbadian Creole (Bajan),14,A
Jamaican English,14,D
Jamaican Creole,14,A
San Andrés Creole,14,A
Belizean Creole,14,?
Guyanese Creole (Creolese),14,A
Eastern Maroon Creole,14,A
Saramaccan,14,D
Sranan,14,A
Trinidadian Creole,14,B
Vincentian Creole,14,A
Krio (Sierra Leone Creole),14,A
Liberian Settler English,14,B
Vernacular Liberian English,14,B
Ghanaian English,14,D
Ghanaian Pidgin,14,A
Nigerian English,14,C
Nigerian Pidgin,14,A
Cameroon English,14,C
Cameroon Pidgin,14,A
Tanzanian English,14,D
Kenyan English,14,D
Ugandan English,14,C
White Zimbabwean English,14,D
Black South African English,14,B
Indian South African English,14,A
White South African English,14,B
Indian English,14,B
Pakistani English,14,C
Butler English,14,B
Sri Lankan English,14,D
Hong Kong English,14,A
Colloquial Singapore English (Singlish),14,A
Malaysian English,14,A
Australian English,14,B
Australian Vernacular English,14,D
Aboriginal English,14,A
Roper River Creole (Kriol),14,A
Torres Strait Creole,14,A
New Zealand English,14,B
Norfolk Island/ Pitcairn English,14,A
Palmerston English,14,C
Acrolectal Fiji English,14,D
Pure Fiji English (basilectal FijiE),14,?
Bislama,14,X
Tok Pisin,14,X
Hawaiʼi Creole,14,B
Falkland Islands English,14,C
St. Helena English,14,D
Tristan da Cunha English,14,D
Philippine English,14,C
Cape Flats English,14,B
Orkney and Shetland English,15,C
Scottish English,15,C
Irish English,15,A
Manx English,15,A
Welsh English,15,C
English dialects in the North of England,15,D
English dialects in the Southwest of England,15,X
East Anglian English,15,D
English dialects in the Southeast of England,15,D
Channel Islands English,15,D
British Creole,15,D
Maltese English,15,D
Newfoundland English,15,B
Colloquial American English,15,D
Urban African American Vernacular English,15,D
Rural African American Vernacular English,15,C
Earlier African American Vernacular English,15,D
Ozark English,15,D
Appalachian English,15,D
Southeast American enclave dialects,15,D
Gullah,15,B
